tb1,tb1 href,tb2,tb3,tb4,tb5,tb6
Kenya,https://www.worldeconomics.com/ESG/Environment/Temperatures/Kenya.aspx,24.6°,24.9°,25.1°,25.2°,25.2°
"Congo, Rep.",https://www.worldeconomics.com/ESG/Environment/Temperatures/CongoRep.aspx,24.5°,24.7°,24.9°,25.1°,25.3°
India,https://www.worldeconomics.com/ESG/Environment/Temperatures/India.aspx,24.5°,24.8°,25.0°,25.1°,25.4°
Vietnam,https://www.worldeconomics.com/ESG/Environment/Temperatures/Vietnam.aspx,24.5°,24.7°,24.9°,25.1°,25.5°
Costa Rica,https://www.worldeconomics.com/ESG/Environment/Temperatures/Costa%20Rica.aspx,24.4°,24.7°,24.8°,24.9°,25.2°
Haiti,https://www.worldeconomics.com/ESG/Environment/Temperatures/Haiti.aspx,24.3°,24.8°,25.0°,25.3°,25.8°
Honduras,https://www.worldeconomics.com/ESG/Environment/Temperatures/Honduras.aspx,24.2°,24.6°,24.8°,25.1°,25.5°
"Congo, Dem. Rep",https://www.worldeconomics.com/ESG/Environment/Temperatures/Congo%20Dem.%20Rep.aspx,24.1°,24.3°,24.4°,24.4°,24.4°
Mozambique,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mozambique.aspx,24.0°,24.2°,24.5°,24.7°,25.2°
Dominican Republic,https://www.worldeconomics.com/ESG/Environment/Temperatures/Dominican%20Republic.aspx,23.8°,24.5°,24.7°,25.0°,25.6°
Laos,https://www.worldeconomics.com/ESG/Environment/Temperatures/Laos.aspx,23.8°,24.1°,24.3°,24.5°,25.1°
Paraguay,https://www.worldeconomics.com/ESG/Environment/Temperatures/Paraguay.aspx,23.8°,23.8°,24.0°,24.3°,24.9°
Myanmar,https://www.worldeconomics.com/ESG/Environment/Temperatures/Myanmar.aspx,23.6°,23.8°,24.0°,24.1°,24.6°
Comoros,https://www.worldeconomics.com/ESG/Environment/Temperatures/Comoros.aspx,23.5°,23.6°,23.8°,24.0°,24.4°
Guatemala,https://www.worldeconomics.com/ESG/Environment/Temperatures/Guatemala.aspx,23.1°,23.5°,23.8°,24.1°,24.6°
Algeria,https://www.worldeconomics.com/ESG/Environment/Temperatures/Algeria.aspx,23.1°,23.4°,23.7°,23.8°,24.2°
Ethiopia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Ethiopia.aspx,22.9°,23.2°,23.5°,23.6°,24.2°
Mauritius,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mauritius.aspx,22.9°,23.2°,23.5°,23.8°,23.9°
Egypt,https://www.worldeconomics.com/ESG/Environment/Temperatures/Egypt.aspx,22.6°,22.9°,23.4°,23.6°,24.0°
Uganda,https://www.worldeconomics.com/ESG/Environment/Temperatures/Uganda.aspx,22.6°,23.1°,23.3°,23.2°,23.1°
Tanzania,https://www.worldeconomics.com/ESG/Environment/Temperatures/Tanzania.aspx,22.4°,22.7°,22.9°,23.0°,23.0°
Madagascar,https://www.worldeconomics.com/ESG/Environment/Temperatures/Madagascar.aspx,22.4°,22.5°,22.8°,23.0°,23.1°
Cabo Verde,https://www.worldeconomics.com/ESG/Environment/Temperatures/Cabo%20Verde.aspx,22.3°,22.4°,22.6°,22.7°,22.9°
Libya,https://www.worldeconomics.com/ESG/Environment/Temperatures/Libya.aspx,22.3°,22.6°,23.0°,22.9°,23.3°
Malawi,https://www.worldeconomics.com/ESG/Environment/Temperatures/Malawi.aspx,22.2°,22.5°,22.7°,22.8°,23.2°
Zambia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Zambia.aspx,21.7°,22.0°,22.1°,22.1°,22.3°
Australia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Australia.aspx,21.6°,21.9°,22.1°,22.4°,22.8°
Angola,https://www.worldeconomics.com/ESG/Environment/Temperatures/Angola.aspx,21.5°,21.7°,21.7°,21.7°,21.7°
Botswana,https://www.worldeconomics.com/ESG/Environment/Temperatures/Botswana.aspx,21.5°,21.9°,22.1°,22.3°,22.5°
Zimbabwe,https://www.worldeconomics.com/ESG/Environment/Temperatures/Zimbabwe.aspx,21.3°,21.7°,22.0°,22.1°,22.5°
Ecuador,https://www.worldeconomics.com/ESG/Environment/Temperatures/Ecuador.aspx,21.2°,21.4°,21.5°,21.8°,21.8°
Pakistan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Pakistan.aspx,20.9°,21.3°,21.7°,21.8°,22.1°
Bolivia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bolivia.aspx,20.8°,20.8°,20.9°,21.1°,21.8°
Mexico,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mexico.aspx,20.8°,21.2°,21.6°,22.0°,22.7°
Namibia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Namibia.aspx,20.0°,20.3°,20.5°,20.6°,20.9°
Eswatini,https://www.worldeconomics.com/ESG/Environment/Temperatures/Eswatini.aspx,20.0°,20.5°,20.8°,21.1°,21.4°
Burundi,https://www.worldeconomics.com/ESG/Environment/Temperatures/Burundi.aspx,20.0°,20.4°,20.6°,20.5°,20.3°
Tunisia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Tunisia.aspx,19.7°,20.3°,20.8°,21.1°,21.6°
Peru,https://www.worldeconomics.com/ESG/Environment/Temperatures/Peru.aspx,19.5°,19.6°,19.7°,19.9°,20.2°
Israel,https://www.worldeconomics.com/ESG/Environment/Temperatures/Israel.aspx,19.3°,19.7°,20.3°,20.6°,21.0°
Jordan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Jordan.aspx,18.8°,19.2°,19.8°,20.0°,20.3°
Malta,https://www.worldeconomics.com/ESG/Environment/Temperatures/Malta.aspx,18.8°,19.3°,19.8°,20.0°,20.6°
Rwanda,https://www.worldeconomics.com/ESG/Environment/Temperatures/Rwanda.aspx,18.6°,19.1°,19.3°,19.2°,18.9°
Cyprus,https://www.worldeconomics.com/ESG/Environment/Temperatures/Cyprus.aspx,18.3°,18.6°,19.2°,19.5°,20.2°
Uruguay,https://www.worldeconomics.com/ESG/Environment/Temperatures/Uruguay.aspx,17.6°,17.9°,18.1°,18.3°,18.4°
